PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23,PC_24,PC_25,PC_26,PC_27,PC_28,PC_29,PC_30,PC_31,PC_32,PC_33,PC_34,PC_35,PC_36,PC_37,PC_38,PC_39,PC_40,PC_41,PC_42,PC_43,PC_44,PC_45,PC_46,PC_47,PC_48,PC_49,PC_50,IID,Population,SEX
-3.2863886,3.713345,7.0497646,-12.667088,5.9979997,30.017303,-1.5015755,-2.149035,-3.2723916,-1.1671828,0.1893931,0.7954409,0.52490103,0.8070446,-0.10696912,0.2555058,1.2904109,-1.9918132,0.38911688,-1.057436,-0.9540416,0.14991891,-0.9421301,-0.035196148,-0.3286967,1.0731136,-0.35228345,1.18372,-0.78312474,0.7185629,1.361686,0.49211222,0.45351517,0.062454764,2.5781138,0.3036145,0.3515712,-0.49208063,0.40994135,1.4829565,-1.0216268,1.0252084,1.5002316,2.6321633,0.29617766,1.199287,-2.0315616,-1.2363789,2.8082047,-0.9984806,NA17970,CHD,2
-3.4944506,3.6341455,7.593422,-12.322916,6.5737405,31.443804,-1.2679206,-2.161368,-3.4264574,-1.6479368,-0.22161198,-0.015094168,0.5950877,-0.6861915,-1.1380019,-0.6232407,0.112323694,0.3527967,-0.8785613,0.3106493,1.9155769,-0.8210726,-0.89667994,-0.867195,0.96690744,-0.34518972,-0.30437016,-0.30135337,0.030790107,-0.11891101,-0.44341698,-0.91115725,-0.06916685,0.3512001,-0.41317526,1.2890431,-1.5904428,0.6025646,0.22572267,1.0143496,0.90042675,0.20802248,-0.43570948,1.94973,-2.4289112,-0.5466431,-0.13054293,-1.4156282,-0.07909263,0.1255055,NA17977,CHD,2
-4.045368,3.2312229,6.8878503,-13.56382,5.4554424,30.670858,-2.038332,-3.5886757,-2.946405,-1.4167374,0.3449406,0.490054,0.22109258,1.134702,-0.84889793,1.1130208,-0.96024823,0.7333307,0.046610564,-2.1622322,-0.038250826,-2.7401543,-2.051754,2.1005914,1.551579,-2.511276,-0.38517568,-1.4599935,-2.2707696,0.43657643,-2.609186,0.46899426,5.663167,1.1999058,4.2970214,-2.5952199,-0.7390122,-0.8056295,2.5253232,3.5852897,0.8464054,-0.67677575,-0.4333813,-3.9830654,4.241105,1.117626,4.0211296,1.998624,-3.0300906,-3.991733,NA17981,CHD,2
-4.150055,4.4178295,6.7433214,-12.370662,5.6323338,30.202576,-2.1469586,-2.4459455,-2.6163843,-1.5816151,-0.09822843,-0.23032905,0.71932524,-0.32640702,-1.3403322,-1.4962391,-0.18393414,0.21478607,-0.8979035,-1.9086673,-1.0439258,-0.16053632,0.12749714,-1.7135941,-0.3512462,-0.3157006,-0.3223655,0.10307298,0.55897546,1.0762489,0.5025077,0.2667786,0.05059262,-0.77259547,2.1200898,1.3540105,-0.53510344,0.16147663,1.7709955,-1.4903108,-0.6166018,-1.0137044,0.31105638,1.0914845,0.87859434,-1.0957175,0.74152124,-0.18180619,-0.28883708,0.70919615,NA17993,CHD,2
-3.332874,3.2743094,7.858722,-12.730288,5.19593,31.210854,-2.1367023,-2.0048947,-3.4551659,-2.2187486,0.96896094,0.6785713,-0.28030068,-0.091927655,0.14296432,-0.8041503,-0.34706768,-1.4635369,-0.2505489,-0.77527946,0.41681314,-0.4571828,0.10658411,1.1650982,0.46041682,-1.7690501,-1.9743015,-0.12850235,1.1276896,0.75862795,-0.42818415,1.2735405,0.9877498,-1.7940748,-1.3145474,0.81633604,-0.20010138,0.16555786,-0.5426462,-0.98199415,-2.0665047,0.98313177,2.4103985,0.33236688,-0.24942835,-0.013109001,-0.60194564,-0.008955628,0.39252415,-2.224247,NA18101,CHD,2
-4.414723,3.8678792,7.0409036,-14.074816,6.1235776,31.93092,-1.2798891,-2.6553504,-2.110539,-1.6578294,-1.0593356,1.1257055,1.1131077,-0.41470376,0.60476166,-0.38126907,0.18730967,-0.92633367,0.2633954,-0.09436773,-0.6021212,1.2545457,-0.7418608,-0.56576395,-0.13257186,0.9493354,-1.3006006,1.3508606,-1.4630562,1.0112865,1.5883217,0.57578593,0.76412505,-0.8958751,2.021453,0.26207957,-1.4617585,1.0570581,-0.7505703,-1.2952802,3.1425283,-0.82997626,-0.21675164,-0.6677379,1.0939411,0.20880479,-0.017237877,0.42463112,1.4656029,1.6448625,NA18105,CHD,2
-3.5907826,2.9807243,7.477973,-12.499016,6.394531,30.29029,-2.2852807,-2.5734358,-2.8846529,-2.1519558,-0.51705366,1.0821269,1.1034067,-1.3211573,0.0029142972,-0.5274956,0.85137635,0.6242407,1.1574908,-0.59338945,0.5634248,-1.5045245,0.0033789591,-0.13358101,0.31020948,-0.85458404,-1.198032,-1.2212466,-0.25731418,-1.0102764,-1.0589819,-0.3463173,0.013997061,-0.37247822,-0.21717952,-0.96669436,1.012823,0.24625804,0.76188624,0.58894426,-1.7017022,0.5600036,1.2400742,-1.1070629,0.3028413,-1.4741279,0.05856388,0.60743237,-0.30642608,1.0754569,NA18109,CHD,2
-3.4770415,4.1492968,6.69491,-12.606917,5.5226827,30.17041,-1.2831113,-2.3890843,-1.4852159,-2.621852,1.4765682,-0.81710047,-0.76611865,0.6218574,0.078547895,-0.45208922,-0.09188802,-1.2924154,-0.84167707,-1.8982265,1.28853,0.52110463,-0.3254378,-0.5559161,0.34769058,-0.8337871,-0.9123715,0.58176064,0.70634854,2.6240778,-0.50020987,-0.120918006,1.5225719,0.39497513,0.30428675,0.9154261,-0.15190732,1.3966552,-1.0200555,1.4828156,-0.5589403,0.825981,-0.2908613,1.1627786,0.29358223,1.2946992,-2.3027446,0.24687229,1.6338125,-0.32757017,NA18129,CHD,2
-3.8509424,3.667821,6.9810605,-12.46948,6.007743,30.454279,-3.0096147,-3.2094648,-2.9142046,-1.6158826,-1.1355538,1.1473409,-0.5935535,0.5156024,-2.7928288,0.12384876,-0.57958263,-1.26498,1.1254433,-0.26561588,0.0030118218,1.0310163,0.04755429,0.08403492,0.16638406,-1.4490035,-0.282088,1.4476674,0.4559976,0.73309696,0.8429074,-0.15337574,-0.121435516,-0.36467445,0.67917603,0.1672885,0.8355229,-0.1838126,0.78485537,1.0748001,0.99184906,-0.86214846,-1.1320114,-1.1616595,-0.67979985,0.10197071,0.66788536,-0.7788391,1.9516225,-1.4420893,NA18135,CHD,2
-3.002819,3.541268,6.6895337,-13.457726,4.4488096,30.256212,-1.974921,-2.556188,-2.750542,-2.1199243,0.39930788,-1.0646868,1.0594598,-0.50804967,0.31402856,0.13214268,-0.22165067,0.048472155,0.5698236,0.24668506,0.2218527,-1.7755115,0.7354265,-0.11993306,0.5487935,0.7594409,0.33575442,-0.28555942,-1.1001126,-1.6132902,-0.41006052,0.942466,-0.16195214,-0.34811008,-0.5069067,0.35053515,-0.66641444,0.31898603,0.56722677,2.7112446,0.6655579,0.80502117,-1.3405663,2.1439779,-0.36258832,-0.92280054,1.2795354,-0.5603489,-0.80573773,1.6017615,NA18139,CHD,2
-4.047021,2.9541695,8.07674,-13.902358,5.7244515,32.18256,-1.350481,-2.313631,-3.2613103,-1.4054948,-0.41407245,0.19894177,0.35463202,-1.7857037,-0.71426326,0.6564599,0.19115436,0.5235192,0.48788044,0.045941062,0.2641182,-1.5284469,0.10499207,0.05479615,0.19047351,0.29172808,0.14721432,-1.2221621,-0.14702754,-0.99506706,-1.0372826,-1.5115056,-0.43969142,0.6589478,-0.3071476,-1.3036543,-0.73587,-0.20375149,1.5473303,0.014582513,-0.83382165,-0.075407185,-1.0872785,0.30322036,-0.17569388,-1.0026869,0.65590566,1.2652124,-0.17856039,-0.13127427,NA18144,CHD,2
-3.4025664,4.2787642,6.672431,-12.585523,5.185775,30.652168,-0.714432,-2.151798,-2.9136045,-1.099791,0.77903616,-0.4524199,0.1582335,-0.5116107,1.9127018,0.62121063,-0.15075131,1.7987587,0.044259474,-0.09413952,1.0865124,-0.57358485,-0.31181297,-0.5974063,0.6779231,0.55612606,-0.7826208,0.042410403,0.8304991,-2.2111475,2.554313,1.1563758,0.76430476,0.045204587,0.90760607,0.2817754,-1.4803822,0.37602708,0.044194475,-0.7390107,1.9050659,-1.9693294,-1.3988054,-1.4107277,-0.64057434,-1.0484678,-0.803576,0.4237623,-1.9353307,-0.23899594,NA18150,CHD,2
-3.9884627,2.837039,6.925086,-13.5471,5.8782454,31.557066,-2.5316255,-3.4360676,-2.614391,-1.4898517,0.04552202,-1.1790286,-1.5870136,0.33800822,0.68573904,-1.4795095,1.089767,-1.3031452,-0.45554295,-2.00149,1.7123502,-0.09673072,0.7562829,0.96131593,0.21905035,-0.7433525,0.50291675,0.29147285,-0.40046245,1.7464352,-0.0042558936,0.620913,0.113953665,-0.41636845,-0.9533185,1.3295013,-1.2591928,0.8950769,-1.4777412,-0.47375077,-0.9180142,0.8295021,1.1189401,-0.49421605,-1.1818892,0.64238936,-0.24758324,-0.59442633,-0.170271,0.72833043,NA18154,CHD,2
-4.231188,2.720333,7.1413636,-12.373463,5.682707,30.434969,-2.2254379,-2.460394,-1.7034726,-0.9476035,-0.04282785,-0.059396036,0.8651302,0.63550097,-0.7091877,0.8645887,-1.8868289,0.73592556,-0.30627805,0.6508905,-0.1363879,-0.7882381,0.024026254,-1.275063,1.566121,-2.0731115,0.24646388,-0.74263597,-1.1629492,1.9994823,-2.3243732,1.7261301,0.43898287,-1.3519514,-1.1587957,0.2770745,-0.8059747,-1.2054381,-1.5929853,0.6977837,-0.21147463,-1.2873685,-1.937223,-1.203886,-0.21093436,0.060603064,0.029868023,0.33322227,-0.49344102,1.6801885,NA18162,CHD,2
-3.9583309,3.383377,6.84287,-13.049076,6.1777925,31.45703,-1.3610666,-2.6962712,-3.5119164,-1.7846571,1.8171831,0.33790252,-0.18702714,0.32250178,-0.8135284,0.83592683,-0.16780761,0.8698317,-0.6562031,1.396533,-0.1417874,-0.11865945,2.3004968,0.2663176,-0.007517246,2.781402,0.45711428,2.2976396,1.6595939,-1.0812137,1.1124269,0.36932996,-1.198943,1.1504471,-0.38370878,-2.484151,0.6586415,-1.4034884,0.17684208,0.36581278,1.2175283,2.5006082,-0.65430737,-0.15339458,-2.221029,1.1560023,-2.1429965,1.6316053,0.2177419,0.010934897,NA17974,CHD,1
-3.6178234,3.4620607,7.434232,-14.049157,6.0880575,31.065392,-2.395338,-2.8806944,-3.2026973,-1.1837645,0.044404477,0.15834609,-0.4011768,0.8281294,-0.70996606,0.6315853,-0.16932194,-0.70817965,0.6121039,0.18259339,-0.39636797,-1.1598755,2.5314672,0.8344478,0.34962624,1.6485202,1.5424446,0.21378939,0.3192547,-1.7811986,1.6009133,1.0700165,-2.020663,-0.87296,0.95299083,1.8975166,-0.77645874,1.2922174,0.14313944,1.4585044,-0.87050945,-1.7704538,-0.37562168,-0.69262385,0.22899093,0.88754755,-1.2878867,1.9665282,-1.1414474,1.0130695,NA17975,CHD,1
-2.696259,2.8235373,6.466784,-12.010012,4.9266124,30.268,-1.5125029,-2.5982616,-2.1125484,-1.3749897,0.53888476,-0.31983975,-0.38776195,-0.683319,1.6340699,1.0977769,0.92668283,1.1385009,-0.4577719,1.2809668,0.031283326,-1.6557026,1.2679029,-0.4024671,-0.996903,0.7521987,-0.8392149,0.5915848,0.23596509,-0.41926765,0.41784766,1.21769,-0.14465998,-0.3524779,1.1906873,-0.038167465,-0.46689317,-0.30676848,-0.12110764,-0.79450613,1.5153425,-3.3282866,-1.036728,-2.180846,-2.287442,-0.4979558,0.45914018,-0.30560735,-2.0037613,-1.7313224,NA17980,CHD,1
-4.4284415,3.5189838,7.19177,-13.967729,6.076054,29.910938,-1.4827126,-4.3066587,-3.4116275,-1.4819888,0.31167892,1.0502493,0.2662242,0.6487616,0.19780211,0.8522909,-0.45938635,0.5377289,-0.35441434,-0.80932814,-0.43707007,-1.843622,-1.0672438,0.6013166,1.271185,-2.274748,1.1773363,-1.7471174,-2.9827993,0.61263305,-2.6798317,0.7205408,5.030482,1.1108594,5.066415,-2.376744,0.17033802,-0.16731858,2.6960828,2.2982059,2.4098363,-0.38485426,-0.8345242,-3.4388475,3.5376923,1.5872924,3.1525621,2.4346876,-1.2937273,-4.358253,NA17986,CHD,1
